Created on 06/20/2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High/2018,Low,Close,Volume From,Volume To
06/20/2018,LTCUSD,98.61,98.94,95.24,97.84,3688.02,356180.46
06/19/2018,LTCUSD,98.78,101.52,96.98,98.61,6592.21,650823.09
06/18/2018,LTCUSD,94.93,99.92,93.11,98.78,9995.23,964651.22
06/17/2018,LTCUSD,97.26,97.98,94.55,94.93,3442.86,332690.98
06/16/2018,LTCUSD,95.45,97.41,92.79,97.26,7682.78,737125.53
06/15/2018,LTCUSD,100.89,100.91,94.76,95.45,7811.77,764297.46
06/14/2018,LTCUSD,93.74,102.88,92.56,100.89,11514.43,1123661.69
06/13/2018,LTCUSD,99.94,100.1,88.69,93.74,21885.11,2044163.77
06/12/2018,LTCUSD,107.07,108,97.46,99.94,13852.74,1414132.58
06/11/2018,LTCUSD,106.35,108.5,103,107.07,16892.39,1783599.8
06/10/2018,LTCUSD,117.29,117.29,102.87,106.35,25975.18,2820383.96
06/09/2018,LTCUSD,119.94,120.81,116.41,117.29,4817.34,572532.65
06/08/2018,LTCUSD,121.27,122.06,118.27,119.94,3744.32,448003.75
06/07/2018,LTCUSD,121.34,123.38,119.16,121.27,5985.68,726957.76
06/06/2018,LTCUSD,122,122.73,118.33,121.34,6102.14,738427.89
06/05/2018,LTCUSD,119.66,122.33,116.02,122,7897.95,940385.28
06/04/2018,LTCUSD,125.2,126.77,118,119.66,8742.21,1056882.81
06/03/2018,LTCUSD,123.33,127.9,122.21,125.2,9749.57,1227485.92
06/02/2018,LTCUSD,119.76,124.52,118.62,123.33,7805.58,952894.53
06/01/2018,LTCUSD,118.18,120.25,116.68,119.76,6530.34,774954.51
05/31/2018,LTCUSD,117.2,120.99,116.12,118.18,6031.79,717430.13
05/30/2018,LTCUSD,119.27,122.63,114.98,117.2,10163.6,1200406.24
05/29/2018,LTCUSD,111.11,122.7,109.35,119.27,11819.54,1383415.95
05/28/2018,LTCUSD,117.71,119.06,110.22,111.11,13726.9,1559587.06
05/27/2018,LTCUSD,118.2,118.67,116.28,117.71,3999.62,468663.03
05/26/2018,LTCUSD,119,122.38,117.46,118.2,2284.81,274693.64
05/25/2018,LTCUSD,122.65,124.21,117.01,119,6023.22,722319.85
05/24/2018,LTCUSD,118.61,124.65,114.94,122.65,9236.97,1106424.59
05/23/2018,LTCUSD,128.24,129.17,116.12,118.61,15596.3,1895299.15
05/22/2018,LTCUSD,134.18,136.08,126.94,128.24,5025.12,661445.38
05/21/2018,LTCUSD,140.1,140.1,133.27,134.18,4762.87,648042.92
05/20/2018,LTCUSD,135.11,141.01,132.5,140.1,7093.14,984508.09
05/19/2018,LTCUSD,135.97,137.73,133.1,135.11,4071.78,551489.57
05/18/2018,LTCUSD,132.08,137.71,128.89,135.97,14573.83,1930395.03
05/17/2018,LTCUSD,139.2,141.32,131.37,132.08,10613.48,1450341.89
05/16/2018,LTCUSD,139.19,140.81,134.34,139.2,10913.35,1497873.13
05/15/2018,LTCUSD,147.45,149.61,137.51,139.19,9940.55,1424813.09
05/14/2018,LTCUSD,144.31,153.12,134.64,147.45,27717.21,4043019.8
05/13/2018,LTCUSD,141.47,146.76,136.42,144.31,8157.66,1159797.3
05/12/2018,LTCUSD,135.86,144.46,131.3,141.47,12569.27,1743952.01
05/11/2018,LTCUSD,148.18,148.41,133.2,135.86,28250.97,3997454.76
05/10/2018,LTCUSD,156.45,160.49,147.67,148.18,10149.47,1562586.39
05/09/2018,LTCUSD,158.8,160.22,150.98,156.45,12365.24,1926293.31
05/08/2018,LTCUSD,164.43,168.46,156.9,158.8,20298.2,3256953.04
05/07/2018,LTCUSD,171.56,171.7,157.55,164.43,29249.19,4793674.19
05/06/2018,LTCUSD,177.56,183.57,165.05,171.56,19335.14,3318911.78
05/05/2018,LTCUSD,169,183.01,167.85,177.56,25392.51,4455114.79
05/04/2018,LTCUSD,161.39,171.84,157.97,169,25599.32,4166969.7
05/03/2018,LTCUSD,151.5,164.89,150.43,161.39,26010.36,4117082.42
05/02/2018,LTCUSD,148.34,153.94,146.18,151.5,9189.76,1366746.53
05/01/2018,LTCUSD,148.38,148.87,143.22,148.34,23171.55,3364339.21
04/30/2018,LTCUSD,153.44,154.49,146.82,148.38,10963.31,1647669.25
04/29/2018,LTCUSD,151.62,156.19,147.94,153.44,11984.23,1824847.72
04/28/2018,LTCUSD,146.02,153.5,145,151.62,18574.93,2788948.17
04/27/2018,LTCUSD,153.3,153.83,145.03,146.02,14445.38,2167961.03
04/26/2018,LTCUSD,144.63,154.48,141.96,153.3,12963.57,1895397.23
04/25/2018,LTCUSD,165.27,165.27,142.66,144.63,46810.55,7076659.93
04/24/2018,LTCUSD,152.59,166.21,152.59,165.27,28940.94,4679650.84
04/23/2018,LTCUSD,146.72,153.86,146.64,152.59,12714.31,1924105.28
04/22/2018,LTCUSD,148.97,153.75,144.99,146.72,13930.68,2084070.97
04/21/2018,LTCUSD,155.55,157.05,141.4,148.97,21867.48,3262644.21
04/20/2018,LTCUSD,146.53,156.6,143.25,155.55,29393.62,4408750.8
04/19/2018,LTCUSD,140.21,147.63,138.82,146.53,14437.78,2056446.97
04/18/2018,LTCUSD,132.59,141.63,131.91,140.21,15679.12,2149007.21
04/17/2018,LTCUSD,128.78,140.12,128.73,132.59,25242.02,3411457.79
04/16/2018,LTCUSD,132.84,133.29,125.15,128.78,15778.83,2015262.81
04/15/2018,LTCUSD,126.13,134.68,126.13,132.84,14417.62,1888261.05
